Table名稱,市場,面向,類別,樣本
董事會通過財務報告資訊,台灣,基本面,"營運, 財報",上市櫃股票
台灣財政統計數據,台灣,基本面,"統計數據, 財政",總經
投信公司持有類股比率,台灣,籌碼面,交易,投信基金
產業季財報,台灣,基本面,財報,指數彙編
陸股外資持股限制表,中國,籌碼面,"交易, 外資",上市櫃股票
公開發行月產銷組合(依項目),台灣,基本面,"財報, 產銷",公開發行股票
興櫃新聞強度評分表,台灣,消息面,公告事件,興櫃股票
陸股上市公司公告,中國,基本面,基本資料,上市櫃股票
興櫃高層人事異動月統計,台灣,基本面,股權結構,興櫃股票
季券商資本適足率資訊,台灣,基本面,"財報, 證券, 資本適足",金融業股票
月漲跌機率統計,台灣,籌碼面,交易,上市櫃股票
興櫃申報轉讓明細,台灣,籌碼面,股權結構,興櫃股票
可轉公司債交易概況,台灣,籌碼面,"交易, 價量",債券
港股季損益累計總表,香港,基本面,"財報, 損益",上市櫃股票
日選擇權三大法人盤後行情表,台灣,籌碼面,三大法人,選擇權
日常用技術指標表_產業相對價格Ⅱ,台灣,技術面,"交易, 指標",上市櫃股票
興櫃日董監設質明細,台灣,籌碼面,董監,興櫃股票
陸股貨幣市場基金收益表,中國,基本面,股利,基金
重要國際個股(週),國際,籌碼面,交易,重要個股
日常用技術指標表(非還原)Ⅱ,台灣,技術面,"交易, 指標",上市櫃股票
投信基金投資比例(組合型),台灣,籌碼面,交易,投信基金
美股季財報(現金流量單季),美國,基本面,"財報, 現金流量",上市櫃股票
期貨盤後交易基本資料,台灣,基本面,基本資料,期貨
重要國際個股(月),國際,籌碼面,交易,重要個股
台灣營建與不動產統計數據,台灣,基本面,"統計數據, 營建, 不動產",總經
月財務警示指標日變動明細,台灣,基本面,"財報, 警示",上市櫃股票
自營商標的權證金額統計(認售),台灣,籌碼面,"三大法人, 自營商",權證
個股券商進出統計,,,,
興櫃年IFRS財報(公告財務比率),台灣,基本面,"財報, 財務比率",興櫃股票
興櫃月產銷組合(依比重),台灣,基本面,"財報, 產銷",興櫃股票
特殊功能–日指數彙編表(動態樣本),,,,
公開發行月產銷組合(依比重),台灣,基本面,"財報, 產銷",公開發行股票
陸股季CAS合併財報(財務比率),中國,基本面,"財報, 財務比率",上市櫃股票
陸股日融資券明細,中國,籌碼面,"交易, 融資券",上市櫃股票
可轉公司債週收盤,台灣,籌碼面,"交易, 價量",債券
ETF債券信評,台灣,基本面,機構評等,信評
月營收(重要子公司),台灣,基本面,"財報, 營收",上市櫃股票
海外基金月績效評比,台灣,籌碼面,交易,海外基金
可轉公司債月收盤,台灣,籌碼面,"交易, 價量",債券
個股情蒐分析,台灣,消息面,"交易, 新聞",上市櫃股票
定期定額統計表,台灣,籌碼面,"交易, 定期定額",上市櫃股票
投信基金投資比例(組合型)–境外其他投資,台灣,籌碼面,交易,投信基金
金融業月產銷組合(依比重),台灣,基本面,"財報, 金融, 產銷",金融業股票
月常用技術指標表(非還原),台灣,技術面,"交易, 指標",上市櫃股票
陸股季業績預告,中國,基本面,營運,上市櫃股票
年IFRS個體財報總表(金控),台灣,基本面,"財報, 個體財報, 金融",金融業股票
季IFRS財報(影響數),台灣,基本面,"財報, 附註",上市櫃股票
陸股公司股本結構表,中國,基本面,股權結構,上市櫃股票
公開發行季IFRS財報(現金流量單季),台灣,基本面,"財報, 現金流量",公開發行股票
滬股通十大成交活躍股,中國,籌碼面,交易,上市櫃股票
CMCR信用評等異動明細,台灣,基本面,機構評等,信評
興櫃現金增資彙總表,台灣,基本面,公告事件,興櫃股票
投信基金組合型投資子基金明細,台灣,籌碼面,交易,投信基金
投信基金日分類統計,台灣,籌碼面,交易,投信基金
券商個股進出統計,,,,
陸股季CAS合併財報(損益單季),中國,基本面,"財報, 損益",上市櫃股票
陸股總體經濟數據表,中國,基本面,統計數據,總經
興櫃股利明細表,台灣,基本面,股利,興櫃股票
金融業月營收比較表,台灣,基本面,"財報, 金融, 營收",金融業股票
投信基金月分類統計,台灣,籌碼面,交易,投信基金
陸股年CAS合併財報(損益),中國,基本面,"財報, 損益",上市櫃股票
公開發行週集保戶股權分散表,台灣,基本面,股權結構,公開發行股票
人民幣通貨匯率表,中國,基本面,基本資料,匯率
融資券成數調整,台灣,籌碼面,"公告事件, 融資券",上市櫃股票
年度董事及監察人酬金級距表,台灣,基本面,"股權結構, 董監, 酬金",上市櫃股票
投信基金週轉率與排行(國內型),台灣,籌碼面,交易,投信基金
陸股年CAS合併財報(資產負債),中國,基本面,"財報, 資產負債",上市櫃股票
陸股年CAS合併財報(財務比率),中國,基本面,"財報, 財務比率",上市櫃股票
季漲跌機率統計,台灣,籌碼面,交易,上市櫃股票
員工認股權憑證,台灣,基本面,股權結構,上市櫃股票
陸股常用技術指標表Ⅱ,中國,技術面,"交易, 指標",上市櫃股票
興櫃季IFRS財報(附註事項),台灣,基本面,"財報, 附註",興櫃股票
年ETF收益分配速選,台灣,基本面,股利,上市櫃股票
投信基金持有債券明細,台灣,籌碼面,交易,投信基金
港股半年報(總表),香港,基本面,"財報, 總表",上市櫃股票
美股年股利速選表,美國,基本面,股利,上市櫃股票
港股通十大成交活躍股,香港,基本面,交易,上市櫃股票
季IFRS財報(子公司),台灣,基本面,"財報, 子公司",上市櫃股票
陸股季CAS合併財報(損益累計),中國,基本面,"財報, 損益",上市櫃股票
金融業月產銷組合(依項目),台灣,基本面,"財報, 金融, 產銷",金融業股票
陸股季CAS合併財報(總表),中國,基本面,"財報, 總表",上市櫃股票
月衍生性商品交易統計,台灣,基本面,"財報, 衍生商品",上市櫃股票
美股ETF債券到期分布,美國,基本面,交易,ETF
日債券理論價格表,台灣,籌碼面,交易,債券
月IFRS財務比率(金控),台灣,基本面,"財報, 金融, 財務比率",金融業股票
季IFRS財報總表(金融)–資產品質,台灣,基本面,"財報, 金融, 附註",金融業股票
工業生產統計表,台灣,基本面,"統計數據, 工商",總經
台灣國民所得統計數據,台灣,基本面,"統計數據, 國民所得",總經
董監分戶保管表,台灣,籌碼面,董監,上市櫃股票
興櫃週集保戶股權分散表,台灣,基本面,股權結構,興櫃股票
海外基金月分類統計,台灣,籌碼面,交易,海外基金
公開發行年IFRS財報(現金流量),台灣,基本面,"財報, 現金流量",公開發行股票
日券商分點分價排行Top15(權證),台灣,籌碼面,"券商, 分點分價",權證
日期交所商品最後結算價,台灣,籌碼面,交易,期貨
債券還本付息明細,台灣,基本面,股利,債券
美股ETF淨值還原表,美國,籌碼面,交易,ETF
年度董監投保責任險明細,台灣,基本面,"股權結構, 董監, 投保",上市櫃股票
上市櫃公司債券還本付息明細,台灣,基本面,基本資料,債券
日債券殖利率曲線,台灣,籌碼面,交易,債券
興櫃日股利彙總表,台灣,基本面,股利,興櫃股票
投信基金週轉率與排行(跨國型),台灣,籌碼面,交易,投信基金
季IFRS個體財報總表(金融),台灣,基本面,"財報, 個體財報, 金融, 總表",金融業股票
月衍生性商品交易明細,台灣,基本面,"財報, 衍生商品",上市櫃股票
公開發行年IFRS財報(公告財務比率),台灣,基本面,"財報, 財務比率",公開發行股票
季IFRS個體財報總表(金控),台灣,基本面,"財報, 個體財報, 金融",金融業股票
台灣勞工統計數據,台灣,基本面,"統計數據, 勞工",總經
季IFRS個體財報總表(金融)–資產品質,台灣,基本面,"財報, 個體財報, 金融, 附註",金融業股票
美股ETF持股明細(top15),美國,籌碼面,"交易, 持股",ETF
現金卡財務資訊,台灣,基本面,"財報, 現金卡",金融業股票
信用卡財務資訊,台灣,基本面,"財報, 信用卡",金融業股票
年IFRS個體財報總表(金融),台灣,基本面,"財報, 個體財報, 金融, 總表",金融業股票
興櫃日T30盤前漲跌幅度,台灣,籌碼面,交易,興櫃股票
興櫃月集保戶股權分散表,台灣,籌碼面,股權結構,興櫃股票
公開發行季IFRS財報(現金流量累計),台灣,基本面,"財報, 現金流量",公開發行股票
日債券殖利率曲線明細,台灣,籌碼面,交易,債券
興櫃日券商分點分價排行Top15,台灣,籌碼面,券商,興櫃股票
陸股年CAS合併財報(現金流量),中國,基本面,"財報, 現金流量",上市櫃股票
興櫃月集保庫存異動統計表,台灣,籌碼面,股權結構,興櫃股票
投信基金從事債券附條件交易,台灣,籌碼面,交易,投信基金
hiHedge籌碼趨勢指標,,,,
券商報告準確度排行,,,,
公開發行週集保戶股權分散統計表,台灣,基本面,股權結構,公開發行股票
公開發行申報轉讓明細,台灣,基本面,"股權結構, 轉讓",公開發行股票
公開發行月集保戶股權分散表,台灣,基本面,股權結構,公開發行股票
公開發行季IFRS財報(附註事項),台灣,基本面,"財報, 附註",公開發行股票
興櫃高層人事異動明細,台灣,基本面,股權結構,興櫃股票
興櫃從業員工狀況,台灣,基本面,基本資料,興櫃股票
公開發行月集保戶股權分散統計表,台灣,基本面,股權結構,公開發行股票
日債券殖利率與百元價格表(公平價格－浮動利率債券),台灣,籌碼面,交易,債券
陸股年CAS合併財報(總表),中國,基本面,"財報, 總表",上市櫃股票
興櫃年度董事及監察人酬金表,台灣,基本面,董監,興櫃股票
興櫃年度董事及監察人學經歷明細,台灣,基本面,董監,興櫃股票
陸股季CAS合併財報(現金流量累計),中國,基本面,"財報, 現金流量",上市櫃股票
興櫃停止過戶表,台灣,基本面,公告事件,興櫃股票
港股IFRS半年報總表(金融),香港,基本面,"財報, 總表, 金融",上市櫃股票
興櫃月集保戶股權分散統計表,台灣,籌碼面,股權結構,興櫃股票
陸股上市公司新聞,中國,消息面,公告事件,上市櫃股票
陸股季CAS合併財報(現金流量單季),中國,基本面,"財報, 現金流量",上市櫃股票
興櫃年度董事及監察人酬金級距表,台灣,基本面,董監,興櫃股票
興櫃月財務警示指標日變動明細,台灣,基本面,"財報, 警示",興櫃股票
港股IFRS年財報總表(金融),香港,基本面,"財報, 總表, 金融",上市櫃股票
陸股季CAS財報(資產負債),中國,基本面,"財報, 資產負債",上市櫃股票
陸股季CAS財報(損益單季),中國,基本面,"財報, 損益",上市櫃股票
年IFRS個體財報總表(金融)–現金流量,台灣,基本面,"財報, 個體財報, 金融, 現金流量",金融業股票
陸股股改股份鎖定情況(大小非解禁),中國,基本面,交易,上市櫃股票
季IFRS個體財報總表(金融)–現金流量單季,台灣,基本面,"財報, 個體財報, 金融, 現金流量",金融業股票
陸股季CAS財報(總表),中國,基本面,"財報, 總表",上市櫃股票
陸股產品別季合併營收,中國,基本面,"財報, 營收",上市櫃股票
季IFRS個體財報總表(金融)–現金流量累計,台灣,基本面,"財報, 個體財報, 金融, 現金流量",金融業股票
陸股季CAS財報(財務比率),中國,基本面,"財報, 財務比率",上市櫃股票
陸股年CAS財報(總表),中國,基本面,"財報, 總表",上市櫃股票
港股半年報總表(金融),香港,基本面,"財報, 總表, 金融",上市櫃股票
陸股融資券限制,中國,籌碼面,"交易, 融資券",上市櫃股票
港股權證評估表,香港,籌碼面,"交易, 價量",權證
陸股年CAS財報(資產負債),中國,基本面,"財報, 資產負債",上市櫃股票
陸股年CAS財報(損益),中國,基本面,"財報, 損益",上市櫃股票
陸股年CAS財報(現金流量),中國,基本面,"財報, 現金流量",上市櫃股票
陸股季CAS財報(現金流量累計),中國,基本面,"財報, 現金流量",上市櫃股票
陸股季CAS財報(現金流量單季),中國,基本面,"財報, 現金流量",上市櫃股票
陸股年CAS財報(財務比率),中國,基本面,"財報, 財務比率",上市櫃股票
