Table名稱,市場,面向,類別,樣本
REITs基本資料,台灣,基本面,基本資料,REITs
日收盤速選,台灣,技術面,交易,上市櫃股票
期貨交易基本資料,台灣,基本面,基本資料,期貨
年IFRS財報(現金流量),台灣,基本面,"財報, 現金流量",上市櫃股票
權證日自營商進出排行,台灣,籌碼面,"交易, 價量",權證
日選擇權三大法人買賣權分計,台灣,籌碼面,三大法人,選擇權
個股券商分點籌碼分析,台灣,籌碼面,券商,上市櫃股票
日個股類股市值比重,台灣,籌碼面,交易,上市櫃股票
日期貨大額交易人結構表,台灣,籌碼面,交易,期貨
季轉投資(大陸明細),台灣,基本面,"財報, 轉投資",上市櫃股票
個股券商分點進出統計(top10),台灣,籌碼面,"券商, 統計數據",上市櫃股票
日投信速選,台灣,籌碼面,"三大法人, 投信",上市櫃股票
權證標的證券(季),台灣,基本面,交易,權證
季IFRS財報速選(累計),台灣,基本面,財報,上市櫃股票
期貨盤後交易行情表,台灣,籌碼面,"交易, 價量",期貨
TDR折溢價表,台灣,籌碼面,交易,TDR
下市櫃公司基本資料,台灣,基本面,基本資料,下市櫃股票
日市況分析表(類股),台灣,籌碼面,交易,上市櫃股票
日外資速選,台灣,籌碼面,"三大法人, 外資",上市櫃股票
興櫃季IFRS財報(總表),台灣,基本面,"財報, 總表",興櫃股票
個股券商分點進出統計(top1),台灣,籌碼面,"券商, 統計數據",上市櫃股票
金融市場假日表,台灣,基本面,公告事件,其他
增資新股上市,台灣,基本面,"公告事件, 增資",上市櫃股票
日指標公債利率,國際,籌碼面,交易,債券
重要國際個股,國際,籌碼面,交易,重要個股
個股券商分點進出統計(top50),台灣,籌碼面,"券商, 統計數據",上市櫃股票
個股主力買賣超統計,台灣,籌碼面,"券商, 統計數據",上市櫃股票
法人說明會明細,台灣,消息面,"營運, 法說",上市櫃股票
月財務警示指標,台灣,基本面,"財報, 警示",上市櫃股票
上市櫃公司發行債券資料彙總表,台灣,基本面,基本資料,債券
月集保庫存異動統計表,台灣,籌碼面,股權結構,上市櫃股票
證券市場轉換預告表,台灣,消息面,"公告事件, 新聞",上市櫃股票
變更交易表,台灣,基本面,"公告事件, 變更交易",上市櫃股票
美股日常用技術指標表II,美國,技術面,"交易, 指標",上市櫃股票
月營收速選,台灣,基本面,"交易, 營收",上市櫃股票
興櫃主要股東名單,台灣,基本面,股權結構,興櫃股票
季IFRS財報(附註事項),台灣,基本面,"財報, 附註",上市櫃股票
投信基金月持股明細,台灣,籌碼面,"交易, 持股",投信基金
興櫃股利政策表,台灣,基本面,股利,興櫃股票
ETN基本資料表,台灣,基本面,基本資料,ETN
權證評估表(查標的),台灣,籌碼面,"交易, 價量",權證
暫停交易資訊,台灣,基本面,公告事件,上市櫃股票
美股法人說明會,美國,基本面,營運,上市櫃股票
月產銷組合(依比重),台灣,基本面,"財報, 產銷",上市櫃股票
日選擇權大額交易人結構表,台灣,籌碼面,交易,選擇權
官股券商進出明細,台灣,籌碼面,"券商, 官股",上市櫃股票
日券商分點排行Top15(權證),台灣,籌碼面,券商,權證
公會版月基金績效評比,台灣,籌碼面,交易,投信基金
庫藏股資訊,台灣,基本面,"股權結構, 庫藏股",上市櫃股票
日盤後零股交易行情,台灣,籌碼面,"交易, 零股",上市櫃股票
季IFRS財報(現金流量累計),台灣,基本面,"財報, 現金流量",上市櫃股票
重要總體經濟數據,台灣,基本面,統計數據,總經
期貨個股契約調整,台灣,基本面,基本資料,期貨
美股上市公司基本資料,美國,基本面,基本資料,上市櫃股票
美股季財報(總表),美國,基本面,"財報, 總表",上市櫃股票
TDR基本資料表,台灣,基本面,基本資料,TDR
興櫃日法人持股估計,台灣,籌碼面,三大法人,興櫃股票
個股券商分點進出鉅額明細,台灣,籌碼面,"券商, 鉅額",上市櫃股票
季轉投資(大陸收益統計),台灣,基本面,"財報, 轉投資",上市櫃股票
海外基金日還原淨值,台灣,籌碼面,交易,海外基金
海外基金基本資料表,台灣,基本面,基本資料,海外基金
日台指選擇權波動率指數,台灣,籌碼面,"交易, 指標",選擇權
季IFRS財報(部門別資訊),台灣,基本面,"財報, 部門別, 營運",上市櫃股票
個股券商分點區域分析,台灣,籌碼面,券商,上市櫃股票
日常用技術指標表_均線,台灣,技術面,"交易, 指標, 均線",上市櫃股票
季轉投資(海外明細),台灣,基本面,"財報, 轉投資",上市櫃股票
ETN折溢價表,台灣,籌碼面,交易,ETN
美股個股指數成分股比重,美國,基本面,交易,上市櫃股票
證券市場公告,台灣,消息面,"公告事件, 新聞",上市櫃股票
